o,l,h,w,p,q
D288-999-999,6.1,8.66,2.36,0.95,700
D286-999-999,3.54,6.1,1.38,1.15,690
P1043-999-999,9.25,16.14,8.27,0.31,685
D284-999-999,9.06,12.8,2.77,7,426
D285-999-999,4.53,6.5,1.97,1.28,323
P1041-999-999,17.72,21.65,23.62,0.35,225
GH6-694-999,4.13,6.69,0.24,0.02,205
FN9-929-999,4.13,6.69,0.24,0.02,178
HF2-194-070,8.66,12.2,4.72,1.96,104
R08-001-060,4.33,11.02,4.53,0.93,95
FR1-399-060,9.06,12.6,4.92,1.9,91
HF2-001-060,8.66,12.2,4.72,1.87,81
ET3-339-055,8.27,11.81,4.53,1.74,81
GG5-001-005,12,14.63,0.26,0.4,81
GG5-031-005,12,14.63,0.26,0.4,77
P1055-999-999,1,1,1.01,1,68
ET3-339-065,8.27,11.81,4.53,1.83,67
HY2-001-070,8.27,11.81,4.53,2.07,59
GG5-194-006,12,14.63,0.26,0.14,53
ET3-339-070,8.27,11.81,4.53,1.83,48
GH5-925-999,4.13,6.69,0.24,0.03,46
FN8-A18-999,4.13,6.69,0.24,0.02,42
FN9-A38-999,4.13,6.69,0.24,0.02,40
GG5-001-004,12,14.63,0.26,0.4,40
SAS-906-999,7.48,4.92,0.16,0.03,37
ET3-339-060,8.27,11.81,4.53,1.74,37
IV9-090-060,9.06,11.81,4.72,2.65,37
JF7-A99-070,9.84,12.6,4.73,2,35
D289-999-999,1.06,11.94,2.09,0.26,35
SAK-910-999,7.48,4.92,0.16,0.03,34
DX7-090-070,9.06,11.61,4.72,1.06,32
GG8-399-006,12,14.63,0.26,0.14,32
DX7-090-060,9.06,11.61,4.72,0.99,31
E4T-090-060,8.27,11.81,4.53,1.68,30
SFC-011-999,4.25,6.1,0.16,0.04,30
GH4-A26-999,4.13,6.69,0.24,0.02,30
E4T-090-055,8.27,11.81,4.53,1.63,29
ET3-399-070,8.27,11.81,4.53,1.83,29
FW4-592-070,8.07,12.2,4.72,1.65,28
GG9-399-001,8,9.5,2.01,0.2,28
DX7-167-060,9.06,11.61,4.72,0.99,26
FH5-090-060,8.07,12.2,4.72,1.83,25
SFC-323-999,4.25,6.1,0.16,0.04,25
SAH-911-999,7.48,4.92,0.16,0.03,25
E5E-194-060,9.06,11.81,4.72,2.2,25
279-277-070,8.07,12.2,4.92,1.72,24
FC1-477-050,9.06,11.81,4.72,1.03,24
FN7-A17-999,4.13,6.69,0.24,0.02,24
HJ6-675-060,9.06,12.2,4.72,1.93,24
GM4-090-060,12.6,13.78,4.53,2.6,23
GO9-090-060,13.39,15.75,4.72,3.09,22
JG1-C26-065,9.84,12.6,4.72,0.44,22
E4T-090-065,8.27,11.81,4.53,1.72,21
E4T-090-040,7.48,11.42,4.33,1.5,20
EH4-861-070,7.28,12.2,4.92,1.57,20
SAY-906-999,7.48,4.92,0.16,0.03,20
ET3-399-060,8.27,11.81,4.53,1.74,20
GG8-399-007,8.5,10.5,2.01,1.4,20
GY6-090-080,4.13,12.01,1.89,0.26,20
SFD-904-999,4.25,6.1,0.16,0.05,19
ET3-399-045,8.27,10.83,4.33,1.65,19
ET3-399-055,8.27,11.81,4.53,1.74,19
FP6-A26-070,4.33,7.68,3.74,0.52,19
GY6-090-065,4.13,12.01,1.89,0.24,19
DX7-090-050,9.06,11.61,4.72,0.95,18
SAB-906-999,7.48,4.92,0.16,0.03,18
SAD-908-999,7.48,4.92,0.16,0.03,17
SAJ-905-999,7.48,4.92,0.16,0.03,17
E5E-194-080,9.84,12.6,4.72,2.2,17
O54-592-070,9.25,11.81,4.13,1.48,16
O54-592-080,9.65,12.2,4.33,1.54,16
SAG-909-999,7.48,4.92,0.16,0.03,16
SAN-913-999,7.48,4.92,0.16,0.03,16
SAR-908-999,7.48,4.92,0.16,0.03,16
FT1-477-050,3.94,11.02,2.09,0.3,16
HF1-001-050,4.5,12.52,4.1,1.2,16
E3Q-001-070,11.81,13.39,5.12,3.04,16
GY6-090-050,3.94,11.02,1.89,0.23,15
SFB-902-999,4.25,6.1,0.16,0.05,15
GY6-090-055,3.94,11.02,1.89,0.23,14
SAW-914-999,7.48,4.92,0.16,0.03,14
FP2-A34-010,5.91,9.45,3.94,0.59,14
SAA-905-999,7.48,4.92,0.16,0.03,13
SAI-910-999,7.48,4.92,0.16,0.03,13
SAV-905-999,7.48,4.92,0.16,0.03,13
FP2-001-130,4.33,8.66,3.94,0.5,13
GG5-001-003,7,11.5,0.51,0.4,13
GG6-031-006,8,14.5,2.01,1.6,13
E5E-194-050,9.06,11.81,4.72,2.02,13
E5E-194-070,9.06,11.81,4.72,2.2,13
JM1-194-050,8.07,11.42,4.54,1.6,12
CC6-090-060,8.66,11.61,4.72,1.37,12
JJ3-399-070,8.66,11.61,4.72,1.45,12
HF3-B25-060,8.66,12.2,4.72,1.87,12
HG3-A95-065,7.38,12,4.89,1.6,12
FD2-090-090,4.72,13.39,5.12,1.46,12
FR1-001-055,9.06,12.6,4.92,1.85,12
JJ3-011-060,8.66,11.61,4.72,1.42,12
JJ1-C26-070,7.5,12.5,5.01,1.4,12
HI9-B06-060,8.66,11.61,4.72,1.49,12
JJ3-011-040,7.87,10.63,4.33,1.21,12
E54-399-040,4.13,10.24,4.33,0.6,12
L05-277-100,8.27,12.6,5.12,1.87,12
R08-001-040,4.13,10.24,4.33,0.84,12
R08-194-060,4.33,11.02,4.53,0.93,12
X22-011-045,8.07,11.02,4.53,1.65,12
ES8-090-070,8.07,11.02,4.53,1.76,12
EB1-592-030,7.09,10.83,4.33,1.46,12
EJ8-090-080,9.06,12.2,4.72,1.52,12
FD2-090-030,4.53,11.42,4.72,1.08,12
FC7-001-055,8.07,11.42,4.53,1.43,12
FC7-001-070,8.07,11.42,4.53,1.57,12
FG9-751-050,9.45,12.2,4.72,2.41,12
FV6-592-060,8.66,11.61,4.72,1.6,12
FW4-090-060,8.07,12.2,4.72,1.59,12
GK7-592-040,7.28,12.2,4.92,1.59,12
GK7-592-060,7.48,12.6,5.12,1.76,12
GU3-090-110,10.04,13.39,5.31,2.34,12
HJ1-B06-050,8.66,11.61,4.72,1.37,12
HX8-001-050,6.2,11.5,4.11,1.5,12
HX8-001-060,6.2,11.5,4.11,1.5,12
HY2-001-080,9.06,12.6,4.92,2.25,12
HY2-001-090,9.06,12.6,4.92,2.29,12
IG5-011-070,8.66,11.61,4.72,1.45,12
IH2-011-055,6.2,11.3,4.11,1.4,12
IH2-011-060,6.2,11.3,4.11,1.4,12
IK8-646-030,9.06,12.2,4.72,1.63,12
HJ1-C23-070,8.66,11.61,4.72,1.45,12
IY9-C15-060,8.66,11.81,4.72,1.81,12
JC8-090-080,4.53,11.42,4.72,0.99,12
HX8-399-045,6.4,11.5,4.01,1.2,12
HX9-C32-040,6.5,11.5,4.01,1.4,12
JE7-090-060,9,11.3,4.51,1.6,12
JE9-090-070,9.3,13.2,5.21,1.8,12
IV9-675-070,9.06,11.81,4.72,2.65,12
JK6-C24-070,7.09,11.42,4.53,1.19,12
JK7-C53-030,4.53,11.42,4.72,1.15,12
JM1-001-040,7.48,11.42,4.34,1.57,12
JM1-090-080,8.27,11.81,4.54,1.71,12
HY8-B16-060,9.5,12.5,5.01,2.6,12
JF7-001-050,9.06,12.2,4.73,2,12
IF6-076-070,9.06,12.2,4.72,0.44,12
IH2-C89-050,6.3,11.42,4.13,1.06,12
IY1-C89-060,8.66,11.81,4.72,1.81,12
JF7-675-070,9.84,12.6,4.72,0.44,12
E3L-D20-040,5.91,10.63,3.94,1.1,12
E4T-001-070,8.27,11.81,4.53,1.76,12
E5T-011-030,7.8,12,4.51,1.4,12
EJ8-C97-060,8.07,11.02,4.53,1.32,12
I88-C88-080,9.06,12.2,4.72,1.85,12
IF6-817-050,9.06,12.2,4.72,0.44,12
IK8-C95-080,9.45,12.99,5.12,2.07,12
IU1-D01-060,9.3,12.7,5.01,1.6,12
E4L-D20-050,8.3,11.7,5.01,1.4,12
E1G-C88-070,9.5,12.8,5.01,1.6,12
E3J-011-045,5.91,10.63,3.94,1.12,12
E4T-011-070,8.27,11.81,4.53,1.76,12
E4T-194-045,7.48,11.42,4.33,1.54,12
E4T-194-055,8.27,11.81,4.53,1.63,12
E4T-194-070,8.27,11.81,4.53,1.76,12
E22-D26-070,9.06,12.6,4.92,2.2,12
E1Z-B44-040,8.27,11.81,4.53,2.02,12
E1Z-B44-055,8.27,11.81,4.53,2.2,12
E5Q-D07-040,7.48,11.42,4.33,0.44,12
E5Q-D07-070,8.07,12.2,4.72,0.44,12
E5R-090-070,9.06,12.2,4.72,1.85,12
E5S-090-070,8.66,12.6,4.92,1.85,12
E5S-892-050,8.66,12.6,4.92,1.85,12
E5S-892-065,8.66,12.6,4.92,1.85,12
E6J-C91-050,9,11.2,4.51,1.4,12
B1B-B41-060,8,11.2,4.51,1.4,12
B1J-592-050,8.4,12,4.51,1.6,12
B1K-001-050,8.4,12,4.51,1.6,12
H84-442-065,8.07,11.02,4.53,1.75,12
L85-001-060,8.66,11.61,4.72,1.37,12
L85-399-050,8.66,11.61,4.72,1.32,12
R08-194-030,4.13,10.24,4.33,0.82,12
X22-011-035,7.87,10.43,4.33,1.52,12
X22-011-065,8.07,11.02,4.53,1.92,12
X22-090-035,7.87,10.43,4.33,1.52,12
Z65-011-080,9.06,12.2,4.72,1.5,12
Y12-738-080,9.06,12.2,4.72,1.52,12
Y12-738-090,9.06,12.2,4.72,1.54,12
AS8-011-070,9.06,12.2,4.72,1.52,12
AS8-323-060,9.06,12.2,4.72,1.5,12
AQ3-001-070,8.07,12.2,4.92,1.53,12
AQ3-001-080,8.07,12.2,4.92,1.54,12
H84-090-050,8.07,11.02,4.53,1.69,12
I88-011-065,8.07,11.02,4.53,1.48,12
CK1-011-030,6.3,11.02,4.13,1.1,12
CK1-011-040,6.3,11.02,4.13,1.15,12
CK1-011-045,6.3,11.02,4.13,1.17,12
CK1-011-050,6.3,11.42,4.13,1.19,12
CK1-011-055,6.3,11.42,4.13,1.54,12
CK1-011-060,6.3,11.42,4.13,1.21,12
CK1-011-065,6.3,11.42,4.13,1.26,12
CK1-011-070,6.3,11.42,4.13,1.26,12
CK1-011-080,6.69,12.2,4.33,1.28,12
CK1-011-090,6.69,12.2,4.33,1.3,12
CK1-090-030,6.3,11.02,4.13,1.1,12
CK1-090-040,6.3,11.02,4.13,1.15,12
CK1-090-045,6.3,11.02,4.13,1.17,12
CK1-090-050,6.3,11.42,4.13,1.19,12
CK1-090-055,6.3,11.42,4.13,1.54,12
CK1-090-060,6.3,11.42,4.13,1.21,12
CK1-090-065,6.3,11.42,4.13,1.26,12
CK1-090-070,6.3,11.42,4.13,1.26,12
CK1-090-080,6.69,12.2,4.33,1.28,12
CK1-090-090,6.69,12.2,4.33,1.3,12
CK1-675-030,6.3,11.02,4.13,1.1,12
CK1-675-040,6.3,11.02,4.13,1.15,12
CK1-675-045,6.3,11.02,4.13,1.17,12
CK1-675-050,6.3,11.42,4.13,1.19,12
CK1-675-055,6.3,11.42,4.13,1.54,12
CK1-675-060,6.3,11.42,4.13,1.21,12
CK1-675-065,6.3,11.42,4.13,1.26,12
CK1-675-070,6.3,11.42,4.13,1.26,12
CK1-675-080,6.69,12.2,4.33,1.28,12
CK1-675-090,6.69,12.2,4.33,1.3,12
DX4-012-040,8.07,10.43,4.53,1.82,12
