Handle,Title,Vendor,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Price,Variant SKU,Status,Image Src,Type,Metafield: custom.breadCrumbs [single_line_text_field],ID (Ref),Handle (Ref),Import Result,Import Comment
S-13287,S-13287,Arka,FALSE,Size,3x3x3,,,,,0.35,S-13287,draft,https://img.uline.com/is/image/uline/S-13287?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Cube Boxes",8.19253E+12,s-13287,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-16725,S-16725,Arka,FALSE,Size,4x4x3,,,,,0.37,S-16725,draft,https://img.uline.com/is/image/uline/S-16725?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Misc Box Sizes",8.19253E+12,s-16725,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-4040,S-4040,Arka,FALSE,Size,4x4x4,,,,,0.3,S-4040,draft,https://img.uline.com/is/image/uline/S-4040?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Cube Boxes",8.19253E+12,s-4040,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-4575,S-4575,Arka,FALSE,Size,4x4x4,,,,,0.43,S-4575,draft,https://img.uline.com/is/image/uline/S-4575?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > White Corrugated Boxes",8.19253E+12,s-4575,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-19037,S-19037,Arka,FALSE,Size,4x4x5,,,,,0.5,S-19037,draft,https://img.uline.com/is/image/uline/S-19037?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Misc Box Sizes",8.19253E+12,s-19037,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-4576,S-4576,Arka,FALSE,Size,4x4x8,,,,,0.54,S-4576,draft,https://img.uline.com/is/image/uline/S-4576?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Tall Boxes",8.19253E+12,s-4576,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-4881,S-4881,Arka,FALSE,Size,4x4x6,,,,,0.51,S-4881,draft,https://img.uline.com/is/image/uline/S-4881?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Misc Box Sizes",8.19253E+12,s-4881,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-19812,S-19812,Arka,FALSE,Size,4x4x9,,,,,0.66,S-19812,draft,https://img.uline.com/is/image/uline/S-19812?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Tall Boxes",8.19253E+12,s-19812,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-11367,S-11367,Arka,FALSE,Size,4x4x10,,,,,0.82,S-11367,draft,https://img.uline.com/is/image/uline/S-11367?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Tall Boxes",8.19253E+12,s-11367,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-4481,S-4481,Arka,FALSE,Size,4x4x12,,,,,0.96,S-4481,draft,https://img.uline.com/is/image/uline/S-4481?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Tall Boxes",8.19253E+12,s-4481,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-16726,S-16726,Arka,FALSE,Size,4x4x16,,,,,1.04,S-16726,draft,https://img.uline.com/is/image/uline/S-16726?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Tall Boxes",8.19253E+12,s-16726,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
