n,L,W,H,P,c
S-13287,3.0,3.0,3.0,0,0.35
S-16725,4.0,4.0,3.0,0,0.37
S-4040,4.0,4.0,4.0,0,0.3
S-19037,5.0,4.0,4.0,0,0.5
S-4579,5.0,5.0,3.0,0,0.43
S-4580,5.0,5.0,4.0,0,0.46
S-4050,5.0,5.0,5.0,0,0.39
S-4244,6.0,3.0,3.0,0,0.44
S-20491,6.0,4.0,2.0,0,0.44
S-4582,6.0,4.0,3.0,0,0.45
S-4060,6.0,4.0,4.0,0,0.35
S-4512,6.0,5.0,4.0,0,0.54
S-4704,6.0,5.0,5.0,0,0.6
S-4307,6.0,6.0,2.0,0,0.57
S-4780,6.0,6.0,3.0,0,0.58
S-4061,6.0,6.0,4.0,0,0.41
S-4513,6.0,6.0,5.0,0,0.62
S-4062,6.0,6.0,6.0,0,0.42
S-22632,7.0,4.0,3.0,0,0.53
S-4584,7.0,4.0,4.0,0,0.54
S-13286,7.0,5.0,3.0,0,0.58
S-4063,7.0,5.0,4.0,0,0.6
S-4344,7.0,5.0,5.0,0,0.42
S-16700,7.0,6.0,4.0,0,0.72
S-22171,7.0,6.0,5.0,0,0.73
S-16729,7.0,6.0,6.0,0,0.71
S-4585,7.0,7.0,3.0,0,0.69
S-4690,7.0,7.0,4.0,0,0.71
S-4070,7.0,7.0,5.0,0,0.75
S-4586,7.0,7.0,6.0,0,0.8
S-4315,7.0,7.0,7.0,0,0.58
S-22628,8.0,3.0,3.0,0,0.53
S-4245,8.0,4.0,4.0,0,0.41
S-16701,8.0,5.0,3.0,0,0.69
S-4556,8.0,5.0,4.0,0,0.71
S-4308,8.0,5.0,5.0,0,0.72
S-15027,8.0,6.0,2.0,0,0.41
S-4705,8.0,6.0,3.0,0,0.71
S-4080,8.0,6.0,4.0,0,0.43
S-4515,8.0,6.0,5.0,0,0.8
S-4081,8.0,6.0,6.0,0,0.57
S-4588,8.0,7.0,7.0,0,0.92
S-19042,8.0,8.0,2.0,0,0.72
S-4589,8.0,8.0,3.0,0,0.75
S-4082,8.0,8.0,4.0,0,0.61
S-4345,8.0,8.0,5.0,0,0.82
S-4083,8.0,8.0,6.0,0,0.71
S-4975,8.0,8.0,7.0,0,1.02
S-4084,8.0,8.0,8.0,0,0.62
S-4850,9.0,4.0,3.0,0,0.61
S-15030,9.0,4.0,4.0,0,0.62
S-4593,9.0,5.0,3.0,0,0.62
S-16705,9.0,5.0,4.0,0,0.64
S-4092,9.0,5.0,5.0,0,0.67
S-11369,9.0,6.0,2.0,0,0.71
S-4949,9.0,6.0,3.0,0,0.5
S-4484,9.0,6.0,4.0,0,0.51
S-4707,9.0,6.0,5.0,0,0.77
S-4362,9.0,6.0,6.0,0,0.57
S-25102,9.0,6.5,2.75,0,3.05
S-25103,9.0,6.5,4.0,0,3.3
S-19100,9.0,7.0,3.0,0,0.75
S-4594,9.0,7.0,4.0,0,0.77
S-4334,9.0,7.0,5.0,0,0.8
S-4976,9.0,7.0,6.0,0,0.84
S-4485,9.0,7.0,7.0,0,0.94
S-4836,9.0,8.0,4.0,0,0.8
S-4950,9.0,8.0,6.0,0,0.92
S-16706,9.0,8.0,8.0,0,1.02
S-20493,9.0,9.0,3.0,0,0.87
S-4595,9.0,9.0,4.0,0,0.6
S-4093,9.0,9.0,5.0,0,0.92
S-4309,9.0,9.0,6.0,0,0.99
