n,W,L,H
IC1-477-070,1,1.01,1
ES6-090-070,1,1.01,1
P1055-999-999,1,1.01,1
SFD-904-999,4.25,6.1,0.16
SFC-323-999,4.25,6.1,0.16
SFB-902-999,4.25,6.1,0.16
SFC-010-999,4.25,6.1,0.16
SFC-011-999,4.25,6.1,0.16
SAI-910-999,4.92,7.48,0.16
SAK-910-999,4.92,7.48,0.16
SAO-912-999,4.92,7.48,0.16
SAA-905-999,4.92,7.48,0.16
SAW-914-999,4.92,7.48,0.16
SAC-907-999,4.92,7.48,0.16
SAN-913-999,4.92,7.48,0.16
SAV-905-999,4.92,7.48,0.16
SAJ-905-999,4.92,7.48,0.16
SAH-911-999,4.92,7.48,0.16
SAD-908-999,4.92,7.48,0.16
SAB-906-999,4.92,7.48,0.16
SAY-906-999,4.92,7.48,0.16
SAU-907-999,4.92,7.48,0.16
SAR-908-999,4.92,7.48,0.16
SAG-909-999,4.92,7.48,0.16
SAQ-911-999,4.92,7.48,0.16
SAZ-912-999,4.92,7.48,0.16
SAF-910-999,4.92,7.48,0.16
SAP-910-999,4.92,7.48,0.16
SAT-909-999,4.92,7.48,0.16
SAM-907-999,4.92,7.48,0.16
SAE-909-999,4.92,7.48,0.16
SAX-182-999,4.92,7.48,0.16
SAS-906-999,4.92,7.48,0.16
SAL-182-999,4.92,7.48,0.16
FN9-929-999,4.13,6.69,0.24
FN8-A17-999,4.13,6.69,0.24
FN9-054-999,4.13,6.69,0.24
GH4-A26-999,4.13,6.69,0.24
GH6-694-999,4.13,6.69,0.24
GH5-925-999,4.13,6.69,0.24
FN8-A18-999,4.13,6.69,0.24
FN9-A38-999,4.13,6.69,0.24
FN7-A17-999,4.13,6.69,0.24
D289-999-999,2.09,11.94,1.06
D287-999-999,2.09,11.94,1.06
GH3-482-A35,3.5,7,1.21
GH3-668-A35,3.5,7,1.21
GH3-604-A69,3.5,7,1.21
GH3-604-A35,3.5,7,1.21
GH3-482-A69,3.5,7,1.21
GH3-A35-A69,3.5,7,1.21
GH3-399-A35,3.5,7,1.21
GH3-A35-A35,3.5,7,1.21
GH3-399-A69,3.5,7,1.21
D286-999-999,3.54,6.1,1.38
GG9-800-001,4,9.5,1.01
GG5-001-003,7,11.5,0.51
GG9-001-001,5,9,1.01
GG7-399-006,12,14.63,0.26
GG7-001-006,12,14.63,0.26
GG7-001-005,12,14.63,0.26
GG5-001-005,12,14.63,0.26
GG6-399-006,12,14.63,0.26
GG6-399-005,12,14.63,0.26
GG8-399-006,12,14.63,0.26
GG5-001-004,12,14.63,0.26
GG5-194-005,12,14.63,0.26
GG5-194-004,12,14.63,0.26
GG5-001-006,12,14.63,0.26
GG7-399-005,12,14.63,0.26
GG5-031-005,12,14.63,0.26
GG5-031-006,12,14.63,0.26
GG7-001-004,12,14.63,0.26
GG5-194-006,12,14.63,0.26
D285-999-999,4.53,6.5,1.97
GG5-031-004,7.25,10.5,1.01
GY6-090-060,3.94,11.02,1.89
GY6-090-055,3.94,11.02,1.89
GY6-090-045,3.94,11.02,1.89
GY6-090-050,3.94,11.02,1.89
GY6-090-030,3.94,11.02,1.9
GY6-090-040,3.94,11.02,1.9
FT1-477-030,3.94,11.02,2.09
GY5-A26-030,3.94,11.02,2.09
FT1-090-030,3.94,11.02,2.09
GY5-090-050,3.94,11.02,2.09
FT1-090-050,3.94,11.02,2.09
FT1-477-050,3.94,11.02,2.09
GY5-694-030,3.94,11.02,2.09
FT1-090-040,3.94,11.02,2.09
GY5-090-030,3.94,11.02,2.09
GY5-477-060,3.94,11.02,2.09
FT1-477-060,3.94,11.02,2.09
FT1-090-060,3.94,11.02,2.09
GG5-031-007,8,11.5,1.01
GY6-090-065,4.13,12.01,1.89
GY6-090-090,4.13,12.01,1.89
GY6-090-080,4.13,12.01,1.89
GY6-090-070,4.13,12.01,1.89
FT1-090-065,4.13,12.01,2.09
GY5-694-090,4.13,12.01,2.09
FT1-090-080,4.13,12.01,2.09
GY5-477-070,4.13,12.01,2.09
FT1-090-070,4.13,12.01,2.09
FT1-477-065,4.13,12.01,2.09
FT1-477-070,4.13,12.01,2.09
FT1-477-080,4.13,12.01,2.09
FT1-477-090,4.13,12.01,2.09
HE1-B09-080,4.2,7.6,3.81
GI8-323-060,4.33,7.68,3.74
FP6-694-080,4.33,7.68,3.74
FP6-694-070,4.33,7.68,3.74
GI8-323-080,4.33,7.68,3.74
FP6-A34-080,4.33,7.68,3.74
GI8-323-070,4.33,7.68,3.74
FP6-A34-070,4.33,7.68,3.74
FP6-A26-060,4.33,7.68,3.74
FP6-A40-070,4.33,7.68,3.74
FP6-A26-080,4.33,7.68,3.74
FP6-A34-060,4.33,7.68,3.74
FP6-A40-060,4.33,7.68,3.74
FP6-A26-070,4.33,7.68,3.74
GI8-011-080,4.33,7.68,3.74
GI8-011-060,4.33,7.68,3.74
GI8-011-070,4.33,7.68,3.74
FP6-A40-080,4.33,7.68,3.74
FP6-694-060,4.33,7.68,3.74
D288-999-999,6.1,8.66,2.36
HE1-B12-070,4.01,7.8,4
HE1-B12-060,4.01,7.8,4
HE1-B12-080,4.01,7.8,4
HE1-B09-060,4.3,7.8,3.81
GG7-399-004,14,18,0.51
HC7-A90-060,4.5,7.5,3.81
HV7-B72-060,4.4,7.7,3.81
GG7-031-006,14.5,17.5,0.51
HV7-B72-080,4.4,7.8,3.81
HV7-B53-060,4.5,7.8,3.81
HE1-B09-070,4.5,7.8,3.81
HC7-A90-070,4.5,7.5,4.01
HC7-A90-080,4.5,7.5,4.01
HV5-B82-110,4.3,8.5,3.81
HV5-B61-110,4.3,8.7,3.81
HC6-B18-020,4.5,8,4.01
FP2-A40-130,4.33,8.66,3.94
FP2-A26-110,4.33,8.66,3.94
FP2-A26-130,4.33,8.66,3.94
FP2-001-130,4.33,8.66,3.94
GI6-323-130,4.33,8.66,3.94
GI6-339-120,4.33,8.66,3.94
FP2-001-120,4.33,8.66,3.94
FP2-A26-120,4.33,8.66,3.94
GG9-399-001,8,9.5,2.01
HD8-B09-120,4.5,8.5,4.01
HD8-B09-130,4.5,8.5,4.01
HD4-B07-110,4.5,8.5,4.01
HV5-B82-130,4.4,8.7,4.01
HV7-B53-070,4.8,8.5,3.81
HD8-B12-130,4.5,8.8,4.01
R08-399-060,4.53,8.19,4.33
HV5-B82-010,4.5,9.4,3.91
