item_id,description,length_in,width_in,height_in,weight_lb,lead_tcn,pax
1,AFE SUPPLIES 6 SHI,88,108,80,5133,FYS3P112S200080XX,
2,MHU-226 W/ BINS/EM,200,89,93,6050,FYSPP102S100020XX,
3,HESAMS,88,108,96,8025,FYS3P112S100050XX,
4,LOADER WEAPONS,145,53,41,4090,FYSHP112S100080XX,
5,BRU 61 IN CNU 660,88,108,76,3001,FYSHP112S100420XX,
6,INTEL/OPS 2 (CLASS),88,108,96,6343,FYS3P112S100020XX,
7,LOADERS WEAPONS,145,53,41,4360,FYSHP112S100250XX,
8,AFE SUPPLIES 6 SHI,88,108,80,3300,FYS3P112S200020XX,
9,WEAPONS SUPPORT EQ,88,108,90,6671,FYSHPI12S200110XX,
10,Bag Pallet,88,108,67,4300,,
11,PLANT, MOBILE, N2,87,69,63,3890,FYSHP112S100190XX,
12,TRACTOR, TOW,128,55,47,8980,FYSHP112E100210XX,
13,INTEL/OPS 1 (CLASS),88,108,96,3887,FYS3P112S100010XX,
14,PAX,, , , , ,1
15,PAX,,, , , ,1
16,PAX,,,,,,4
17,PAX,,,,,,4
18,PAX,,,,,,20
